Edad,lx,dx,px,qx,Dx,Nx,Cx,Mx
71,"5,545,959","303,464",0.054718,0.945282,"$243,624.00","$1,794,802.50","$12,756.60","$166,336.40"
72,"5,242,495","316,353",0.060344,0.939656,"$220,376.40","$1,551,178.60","$12,725.70","$153,579.80"
73,"4,926,142","327,815",0.066546,0.933454,"$198,160.80","$1,330,802.20","$12,619.00","$140,854.00"
74,"4,598,327","337,407",0.073376,0.926624,"$177,008.60","$1,132,641.40","$12,428.90","$128,235.10"
75,"4,260,920","344,683",0.080894,0.919106,"$156,957.30","$955,632.80","$12,150.20","$115,806.20"
76,"3,916,237","348,383",0.088959,0.911041,"$138,048.20","$798,675.40","$11,751.80","$103,656.10"
77,"3,567,854","351,762",0.098592,0.901408,"$120,351.80","$660,627.20","$11,354.80","$91,904.30"
78,"3,216,092","347,981",0.1082,0.8918,"$103,814.50","$540,275.40","$10,749.00","$80,549.50"
79,"2,868,111","341,477",0.11906,0.88094,"$88,595.00","$436,460.90","$10,093.90","$69,800.50"
80,"2,526,634","331,193",0.131081,0.868919,"$74,686.00","$347,866.00","$9,368.30","$59,706.60"
81,"2,195,441","316,483",0.144155,0.855845,"$62,101.50","$273,180.00","$8,566.70","$50,338.30"
82,"1,878,958","297,867",0.158528,0.841472,"$50,860.60","$211,078.40","$7,715.60","$41,771.60"
83,"1,581,091","275,106",0.173998,0.826002,"$40,954.80","$160,217.90","$6,819.20","$34,056.00"
84,"1,305,985","249,477",0.191026,0.808974,"$32,372.00","$119,263.10","$5,917.60","$27,236.80"
85,"1,056,508","221,178",0.209348,0.790652,"$25,060.40","$86,891.10","$5,020.40","$21,319.20"
86,"835,330","191,489",0.229238,0.770762,"$18,960.80","$61,830.70","$4,159.40","$16,298.80"
87,"643,841","161,422",0.250717,0.749283,"$13,985.00","$42,869.80","$3,355.30","$12,139.40"
88,"482,419","132,106",0.273841,0.726159,"$10,027.50","$28,884.90","$2,627.70","$8,784.10"
89,"350,313","104,624",0.298659,0.701341,"$6,968.00","$18,857.40","$1,991.40","$6,156.50"
90,"245,689","79,897",0.325196,0.674804,"$4,676.50","$11,889.40","$1,455.30","$4,165.00"
91,"165,792","58,600",0.353455,0.646545,"$3,019.80","$7,213.00","$1,021.40","$2,709.70"
92,"107,192","41,100",0.383424,0.616576,"$1,868.40","$4,193.10",$685.50,"$1,688.30"
93,"66,092","27,431",0.415043,0.584957,"$1,102.40","$2,324.80",$437.80,"$1,002.80"
94,"38,661","17,328",0.448204,0.551796,$617.10,"$1,222.40",$264.70,$565.00
95,"21,333","10,300",0.48282,0.51718,$325.80,$605.30,$150.50,$300.30
96,"11,033","5,722",0.518626,0.481374,$161.30,$279.50,$80.00,$149.80
97,"5,311","2,950",0.555451,0.444549,$74.30,$118.20,$39.50,$69.70
98,"2,361","1,400",0.592969,0.407031,$31.60,$43.90,$17.90,$30.20
99,961,961,1, -   ,$12.30,$12.30,$12.30,$12.30
